churn,complaints_90d,outages_90d,tenure_months,contract_type,plan_type,autopay,monthly_charge
False,0,1,57,one-year,basic,yes,69.24
False,0,0,15,month-to-month,plus,yes,48.47
False,0,0,72,one-year,plus,no,50.05
False,1,3,38,two-year,basic,no,52.72
False,0,2,41,month-to-month,basic,no,107.22
False,0,1,12,one-year,plus,yes,56.88
False,0,2,24,one-year,basic,yes,59.63
False,2,2,57,month-to-month,basic,yes,60.57
False,0,1,11,month-to-month,plus,yes,45.94
False,0,0,30,month-to-month,plus,yes,73.38
False,0,5,26,one-year,plus,no,33.86
False,0,0,15,month-to-month,basic,yes,63.11
False,3,2,51,month-to-month,basic,yes,37.56
False,0,1,27,one-year,basic,yes,80.9
False,0,4,44,two-year,basic,yes,73.83
False,2,2,14,two-year,basic,no,89.63
False,1,1,11,month-to-month,basic,yes,55.18
False,1,1,46,one-year,basic,yes,53.32
False,0,0,13,one-year,basic,no,43.99
False,0,1,59,month-to-month,basic,yes,63.23
False,1,3,28,one-year,basic,no,55.31
False,0,2,11,one-year,basic,yes,58.08
False,0,1,47,month-to-month,basic,yes,57.41
False,1,1,36,month-to-month,basic,yes,50.95
False,0,2,72,month-to-month,basic,yes,42.25
False,0,2,24,one-year,plus,yes,60.72
False,0,2,7,month-to-month,plus,yes,71.29
False,0,1,37,month-to-month,plus,yes,70.0
False,0,2,20,month-to-month,basic,yes,48.74
False,2,0,26,two-year,basic,no,64.37
False,0,0,17,month-to-month,plus,no,65.19
False,1,1,36,month-to-month,basic,yes,39.42
False,0,1,54,one-year,basic,no,70.76
False,0,1,27,two-year,basic,yes,57.41
False,1,1,13,month-to-month,plus,yes,63.29
False,1,0,66,month-to-month,plus,yes,48.3
False,1,1,22,two-year,plus,no,35.53
False,2,1,51,one-year,premium,yes,60.99
False,0,1,8,month-to-month,basic,yes,81.36
False,0,2,2,month-to-month,plus,yes,43.39
False,2,2,19,month-to-month,plus,yes,44.85
False,0,2,72,month-to-month,premium,yes,60.32
False,1,0,35,month-to-month,basic,yes,37.15
False,1,2,41,month-to-month,plus,yes,51.6
False,2,2,7,month-to-month,basic,no,65.3
False,1,2,29,one-year,plus,yes,64.12
False,0,0,52,month-to-month,plus,no,71.82
False,1,1,14,month-to-month,basic,yes,71.7
False,0,5,5,one-year,premium,no,56.44
False,1,0,6,month-to-month,basic,yes,38.23
False,1,0,16,one-year,basic,no,63.14
False,2,4,22,month-to-month,basic,yes,46.34
False,1,1,36,month-to-month,plus,yes,78.55
False,1,2,20,month-to-month,basic,yes,56.94
False,0,0,63,month-to-month,basic,yes,59.9
False,1,0,26,two-year,basic,yes,48.66
False,1,1,19,month-to-month,plus,no,53.26
False,1,0,42,two-year,basic,yes,95.49
False,0,0,7,month-to-month,plus,yes,50.55
False,1,0,9,month-to-month,premium,yes,66.96
False,0,1,36,two-year,basic,yes,57.89
False,2,2,54,one-year,basic,yes,44.23
True,2,2,27,two-year,basic,yes,79.28
False,0,2,19,month-to-month,plus,no,35.2
False,0,2,44,one-year,plus,yes,62.61
False,0,0,58,two-year,plus,yes,45.95
False,0,1,23,month-to-month,basic,yes,63.05
False,0,0,22,one-year,plus,yes,56.17
False,0,3,42,two-year,plus,yes,90.13
False,0,2,68,month-to-month,basic,no,71.94
False,0,0,26,one-year,basic,yes,55.87
False,2,2,39,one-year,plus,yes,68.49
False,2,1,52,month-to-month,basic,no,82.97
False,1,0,39,month-to-month,basic,yes,84.23
False,0,1,11,one-year,premium,no,49.28
False,0,2,9,month-to-month,basic,yes,54.06
False,0,0,22,two-year,plus,yes,31.46
False,1,0,58,month-to-month,basic,no,51.63
False,1,0,50,two-year,premium,no,28.72
False,1,2,10,month-to-month,plus,yes,71.16
False,0,0,42,month-to-month,basic,yes,65.54
False,0,2,37,month-to-month,plus,no,45.92
False,0,1,45,one-year,premium,yes,62.94
False,1,0,19,one-year,premium,no,81.15
False,2,1,71,two-year,basic,no,82.64
False,0,0,13,one-year,basic,yes,89.1
True,0,2,40,one-year,basic,no,43.9
False,0,1,16,month-to-month,basic,no,31.71
False,0,2,15,one-year,basic,no,35.99
False,1,2,28,month-to-month,basic,yes,101.24
False,1,1,12,one-year,basic,no,42.04
False,1,1,25,one-year,basic,yes,73.37
False,1,2,31,one-year,premium,no,77.31
False,0,0,65,month-to-month,premium,yes,68.08
True,1,1,24,month-to-month,basic,yes,84.15
False,1,2,41,month-to-month,basic,no,51.72
False,2,1,72,one-year,basic,yes,60.48
False,0,2,26,one-year,plus,yes,82.93
False,1,0,6,one-year,basic,yes,80.53
False,0,0,20,month-to-month,plus,no,85.62
False,1,1,33,month-to-month,plus,yes,38.95
False,0,1,59,month-to-month,plus,no,38.33
False,0,2,23,one-year,premium,no,49.7
False,0,2,15,month-to-month,plus,no,74.31
False,0,0,18,month-to-month,plus,yes,56.47
False,0,1,12,month-to-month,basic,yes,56.34
False,0,0,16,two-year,plus,no,32.21
False,3,0,41,one-year,premium,no,43.62
False,1,1,44,month-to-month,premium,yes,41.86
False,0,2,6,month-to-month,plus,no,89.9
False,0,1,14,two-year,basic,yes,27.41
False,0,3,17,month-to-month,basic,no,46.18
False,1,5,30,one-year,plus,no,49.8
False,0,2,19,month-to-month,plus,yes,47.79
False,2,1,9,month-to-month,basic,no,80.04
False,0,4,63,two-year,premium,yes,33.07
False,0,0,21,one-year,plus,no,75.62
False,0,1,72,one-year,plus,no,75.25
False,1,1,3,month-to-month,basic,yes,60.26
False,0,1,25,month-to-month,basic,yes,49.03
False,1,3,17,month-to-month,basic,yes,47.0
False,0,1,26,month-to-month,basic,yes,66.93
False,0,4,30,two-year,premium,no,57.16
False,1,3,59,one-year,basic,no,60.43
False,0,0,24,two-year,premium,yes,39.01
False,0,1,37,month-to-month,basic,yes,102.48
False,1,2,8,one-year,basic,no,69.55
False,1,2,72,one-year,premium,no,52.2
False,1,1,18,one-year,plus,yes,89.65
False,1,1,16,month-to-month,basic,no,73.16
False,0,1,20,one-year,basic,yes,73.58
False,0,1,16,month-to-month,basic,yes,68.9
False,0,0,15,one-year,premium,yes,77.09
False,0,2,24,two-year,basic,no,74.51
False,0,1,37,one-year,plus,yes,44.89
False,0,0,12,month-to-month,plus,yes,73.67
False,0,2,20,month-to-month,plus,yes,74.03
False,0,0,52,month-to-month,premium,yes,66.38
False,0,1,14,month-to-month,premium,no,74.16
False,0,6,56,one-year,plus,no,45.14
False,1,2,6,month-to-month,premium,yes,52.7
False,2,1,24,month-to-month,plus,no,95.9
False,0,1,12,one-year,plus,yes,61.33
False,0,1,30,month-to-month,basic,yes,62.38
False,0,3,41,two-year,plus,yes,72.75
False,0,0,41,month-to-month,basic,no,59.39
False,0,0,42,month-to-month,plus,yes,45.39
False,1,2,7,one-year,premium,yes,58.83
False,1,0,41,two-year,plus,yes,35.01
False,1,0,20,two-year,basic,yes,86.6
False,0,7,49,month-to-month,plus,no,63.53
False,0,1,13,month-to-month,basic,yes,32.33
False,0,1,31,two-year,basic,no,66.23
False,1,0,21,month-to-month,plus,no,49.99
True,0,1,12,one-year,plus,yes,54.61
False,3,1,18,one-year,plus,yes,85.7
False,1,3,10,two-year,basic,yes,63.62
False,1,2,32,one-year,plus,no,60.49
True,1,1,28,month-to-month,basic,no,67.16
False,0,2,41,two-year,basic,yes,62.41
False,0,1,15,month-to-month,premium,no,59.79
False,0,0,23,one-year,plus,yes,76.96
False,0,3,61,month-to-month,plus,yes,25.0
False,0,1,36,one-year,plus,yes,66.52
False,0,0,72,two-year,premium,yes,84.81
False,0,2,21,two-year,plus,yes,90.87
False,1,3,12,month-to-month,basic,yes,48.71
False,0,0,34,month-to-month,basic,yes,46.15
True,0,0,49,month-to-month,plus,yes,25.0
False,2,3,15,two-year,premium,no,53.32
False,0,4,30,one-year,plus,yes,54.39
False,0,0,41,one-year,basic,no,63.32
False,0,1,21,two-year,basic,yes,75.04
False,1,1,22,one-year,plus,no,87.95
False,2,1,18,month-to-month,plus,yes,55.35
False,1,0,16,month-to-month,plus,no,48.07
False,2,1,72,month-to-month,plus,yes,25.0
False,0,3,31,month-to-month,basic,yes,45.15
False,1,0,12,two-year,plus,yes,57.48
False,0,2,7,month-to-month,basic,no,64.06
True,0,3,22,two-year,basic,yes,55.34
False,0,0,23,month-to-month,basic,yes,60.25
False,0,0,22,two-year,basic,yes,67.04
False,1,0,34,two-year,plus,yes,93.6
False,0,5,28,one-year,plus,yes,63.45
False,1,2,39,month-to-month,plus,no,52.8
False,1,2,51,month-to-month,basic,yes,25.0
False,0,1,31,one-year,basic,no,49.09
False,1,1,32,month-to-month,basic,yes,52.85
False,1,2,8,month-to-month,basic,yes,63.16
False,0,2,32,month-to-month,basic,yes,96.38
False,0,4,55,month-to-month,plus,no,34.62
True,0,1,3,one-year,basic,no,60.78
False,0,3,60,one-year,premium,yes,43.96
False,1,2,29,two-year,plus,yes,78.37
False,0,0,47,month-to-month,plus,no,63.2
False,0,2,54,two-year,basic,no,94.63
False,0,0,23,two-year,basic,no,54.81
False,3,0,15,month-to-month,basic,yes,70.74
False,0,2,72,month-to-month,plus,yes,49.0
False,1,1,13,month-to-month,basic,no,69.73
False,1,3,43,month-to-month,basic,no,63.06
False,0,1,19,month-to-month,basic,yes,69.17
False,2,3,15,two-year,basic,no,74.89
False,0,2,31,two-year,plus,yes,84.96
False,0,3,27,two-year,basic,no,67.06
False,0,3,5,one-year,plus,yes,46.5
False,0,0,36,month-to-month,basic,yes,76.49
False,0,1,8,one-year,plus,yes,62.81
False,1,0,62,two-year,premium,yes,70.61
True,3,2,8,month-to-month,basic,yes,54.98
False,1,0,31,month-to-month,basic,no,52.78
False,2,1,31,month-to-month,basic,yes,32.42
False,0,3,39,one-year,basic,yes,83.38
False,3,1,36,month-to-month,basic,yes,58.2
False,0,0,19,month-to-month,plus,yes,61.17
False,1,2,1,one-year,basic,yes,45.65
False,0,0,62,one-year,premium,yes,87.12
False,1,4,47,month-to-month,plus,no,37.45
True,0,2,72,month-to-month,plus,no,77.19
False,0,4,26,month-to-month,plus,yes,101.49
False,0,0,15,month-to-month,plus,yes,69.86
False,0,0,72,month-to-month,plus,yes,90.3
False,0,1,6,month-to-month,basic,yes,63.86
False,0,0,10,one-year,basic,no,55.86
False,1,1,49,month-to-month,basic,no,77.36
False,1,1,5,two-year,plus,yes,78.94
False,0,1,18,month-to-month,basic,yes,43.6
False,0,1,14,month-to-month,plus,yes,46.23
False,1,0,72,month-to-month,basic,yes,71.94
False,0,3,47,month-to-month,plus,yes,53.64
False,1,2,11,month-to-month,plus,yes,84.54
False,0,3,31,two-year,plus,yes,53.66
False,1,1,33,month-to-month,premium,no,53.15
False,0,0,20,two-year,basic,no,68.13
False,1,1,14,one-year,premium,no,85.39
False,0,1,25,one-year,basic,no,86.87
False,0,1,17,month-to-month,plus,yes,28.0
False,1,2,31,month-to-month,basic,yes,50.74
False,1,3,9,month-to-month,plus,yes,62.71
False,0,2,17,one-year,premium,yes,89.32
False,1,3,3,month-to-month,premium,no,89.68
False,1,1,29,month-to-month,basic,yes,29.05
False,1,3,14,month-to-month,plus,no,57.05
False,2,1,29,month-to-month,plus,no,58.66
False,1,0,25,two-year,plus,yes,65.7
False,0,1,72,month-to-month,plus,no,44.79
False,2,1,15,one-year,premium,no,56.11
False,0,1,47,month-to-month,basic,no,75.05
False,0,0,12,month-to-month,basic,no,60.98
False,1,1,27,two-year,premium,yes,87.91
False,0,0,30,one-year,premium,yes,53.74
False,1,2,36,month-to-month,basic,no,59.17
False,0,2,38,one-year,premium,yes,68.94
False,0,1,23,month-to-month,basic,yes,67.58
False,0,0,22,month-to-month,plus,yes,86.14
False,1,0,19,one-year,premium,yes,52.11
False,0,1,42,month-to-month,basic,yes,105.72
False,2,2,14,month-to-month,basic,yes,72.37
False,2,1,16,month-to-month,basic,yes,72.26
False,0,2,28,month-to-month,plus,no,94.05
False,0,0,11,month-to-month,premium,no,73.24
False,1,2,34,month-to-month,plus,no,45.56
False,0,1,23,one-year,basic,yes,59.56
False,0,1,45,two-year,plus,yes,47.89
False,0,3,6,month-to-month,basic,yes,53.97
False,0,0,62,month-to-month,premium,yes,70.89
True,0,0,27,one-year,premium,yes,84.1
False,1,0,72,month-to-month,basic,no,37.08
False,1,1,19,two-year,plus,yes,63.46
False,1,0,13,two-year,basic,yes,52.73
False,1,2,16,two-year,basic,yes,75.13
False,1,0,26,two-year,premium,yes,54.94
False,1,0,48,month-to-month,plus,yes,46.87
False,1,1,48,month-to-month,plus,no,54.92
False,0,0,48,one-year,basic,yes,77.93
False,1,3,40,month-to-month,premium,yes,66.19
True,1,1,34,month-to-month,premium,yes,77.33
False,1,1,35,month-to-month,plus,yes,62.01
False,0,1,15,two-year,plus,no,54.2
False,1,3,33,month-to-month,plus,no,90.31
False,0,2,22,one-year,basic,yes,62.88
False,1,4,20,month-to-month,premium,no,46.34
False,0,1,5,two-year,basic,yes,51.54
False,0,1,6,month-to-month,premium,yes,88.5
False,1,1,23,one-year,plus,yes,58.95
False,0,2,66,two-year,plus,yes,53.26
True,2,4,6,month-to-month,plus,yes,33.77
False,1,1,28,one-year,plus,yes,71.64
False,0,2,18,month-to-month,premium,yes,38.21
False,0,1,6,one-year,plus,no,72.99
False,1,2,72,one-year,basic,yes,75.68
False,1,1,29,month-to-month,plus,yes,49.66
False,1,4,27,month-to-month,premium,yes,46.42
False,2,0,9,month-to-month,premium,yes,72.85
False,0,2,7,month-to-month,plus,no,62.82
False,1,3,15,month-to-month,plus,no,47.03
False,0,1,29,one-year,basic,no,81.39
False,0,1,13,month-to-month,plus,yes,33.0
False,0,1,47,month-to-month,premium,no,80.43
False,0,4,6,one-year,basic,no,56.58
False,0,0,35,month-to-month,plus,yes,52.19
False,2,0,10,month-to-month,plus,yes,102.68
False,3,1,4,month-to-month,premium,yes,25.0
False,0,3,24,one-year,premium,no,43.35
False,1,1,28,two-year,plus,yes,95.6
False,1,2,26,one-year,premium,no,66.79
False,1,1,13,two-year,basic,yes,77.83
False,1,1,46,month-to-month,plus,yes,74.53
False,2,1,36,month-to-month,basic,no,64.47
False,0,1,13,month-to-month,basic,yes,81.21
False,0,0,44,month-to-month,basic,no,81.14
False,1,2,44,month-to-month,basic,yes,50.45
False,1,3,6,two-year,plus,yes,82.42
False,0,0,5,two-year,plus,no,57.41
False,0,1,55,one-year,premium,no,62.43
False,0,0,65,month-to-month,plus,yes,79.69
False,1,0,14,month-to-month,plus,yes,71.71
False,0,3,27,two-year,basic,yes,48.08
False,3,2,32,month-to-month,plus,yes,68.41
False,0,1,30,month-to-month,basic,no,39.82
False,0,0,44,month-to-month,plus,yes,116.22
False,0,1,22,month-to-month,basic,no,76.04
False,0,1,32,month-to-month,basic,no,55.18
False,0,1,72,two-year,plus,no,76.9
False,0,2,34,month-to-month,premium,yes,61.54
False,0,1,55,one-year,basic,yes,56.73
False,1,1,9,month-to-month,basic,yes,81.72
False,0,1,48,month-to-month,plus,no,62.24
False,1,1,41,one-year,basic,yes,75.48
False,0,0,19,month-to-month,plus,yes,74.69
False,0,2,21,month-to-month,plus,yes,69.19
True,0,2,47,month-to-month,basic,yes,77.36
True,0,3,4,two-year,basic,yes,64.17
False,0,2,9,month-to-month,plus,no,94.49
False,1,1,39,month-to-month,premium,yes,53.88
False,3,2,23,one-year,plus,no,34.47
True,0,3,11,one-year,basic,yes,64.37
False,0,0,19,month-to-month,premium,yes,84.79
False,0,2,3,two-year,basic,no,75.81
False,1,1,22,two-year,plus,no,64.54
False,0,0,26,month-to-month,premium,no,71.85
False,0,1,20,month-to-month,basic,no,49.05
False,1,2,28,month-to-month,basic,no,53.32
False,0,1,62,month-to-month,premium,yes,90.9
False,1,3,17,one-year,premium,yes,55.66
False,0,0,12,month-to-month,premium,yes,66.89
False,1,0,43,month-to-month,basic,yes,83.24
False,2,1,16,month-to-month,plus,no,62.96
False,1,4,43,month-to-month,plus,yes,41.89
False,2,1,28,month-to-month,premium,no,59.59
False,2,1,19,one-year,basic,yes,69.5
False,0,0,36,two-year,basic,yes,54.81
False,0,1,56,one-year,premium,yes,68.85
True,1,0,60,month-to-month,premium,yes,79.1
False,1,4,50,two-year,plus,yes,60.67
False,0,0,12,month-to-month,premium,no,56.3
False,1,1,68,two-year,basic,no,73.36
False,0,4,28,one-year,basic,no,48.01
False,0,0,54,two-year,premium,no,74.95
False,2,2,28,one-year,premium,yes,31.88
False,0,0,39,one-year,plus,no,42.45
False,2,2,35,one-year,basic,no,84.18
False,0,5,34,one-year,premium,yes,84.52
False,1,1,13,month-to-month,plus,no,74.98
False,0,2,24,one-year,basic,yes,89.15
False,0,1,12,one-year,basic,yes,57.93
False,1,1,32,month-to-month,basic,yes,65.19
False,0,0,46,one-year,premium,no,51.48
False,1,0,72,one-year,premium,no,62.07
False,0,2,23,one-year,plus,no,71.41
False,0,2,26,one-year,basic,yes,60.57
False,1,0,42,month-to-month,plus,no,39.31
False,0,2,32,month-to-month,plus,yes,61.66
False,1,1,16,month-to-month,plus,no,26.74
False,0,5,16,month-to-month,basic,no,73.65
False,2,1,29,month-to-month,plus,no,63.74
False,1,1,33,month-to-month,basic,yes,69.99
False,0,2,19,month-to-month,plus,yes,64.24
False,1,0,71,two-year,basic,no,34.79
False,1,3,15,two-year,basic,yes,31.26
False,0,2,17,two-year,basic,no,68.18
False,0,1,38,one-year,basic,yes,72.33
False,0,3,40,month-to-month,basic,no,52.4
False,0,2,29,month-to-month,premium,no,39.19
True,0,2,40,one-year,basic,yes,37.68
False,0,2,3,two-year,basic,no,64.39
False,0,0,13,one-year,plus,no,81.67
False,1,1,27,month-to-month,plus,yes,79.69
False,0,2,54,two-year,plus,yes,31.63
False,0,1,6,month-to-month,basic,yes,54.12
False,1,0,16,month-to-month,basic,yes,45.85
False,0,2,29,one-year,plus,yes,63.17
False,2,2,68,two-year,plus,yes,99.46
False,1,2,28,month-to-month,plus,no,69.14
False,1,2,11,month-to-month,plus,yes,25.0
False,3,2,9,month-to-month,basic,no,74.22
False,2,2,38,month-to-month,basic,no,70.39
False,3,1,24,two-year,basic,yes,35.0
False,0,1,25,month-to-month,basic,yes,60.64
False,2,2,41,month-to-month,plus,yes,82.23
False,2,0,4,one-year,basic,no,53.27
False,0,4,22,month-to-month,basic,no,66.93
False,0,0,37,month-to-month,basic,yes,73.52
False,2,2,22,month-to-month,plus,no,50.1
False,1,0,12,one-year,premium,yes,90.69
False,2,0,18,month-to-month,plus,yes,80.91
False,0,2,21,two-year,basic,yes,97.11
False,0,0,42,month-to-month,plus,yes,38.28
False,2,5,9,month-to-month,basic,yes,61.81
False,1,1,5,month-to-month,premium,yes,51.39
False,2,1,7,month-to-month,basic,yes,69.36
False,0,0,64,one-year,basic,yes,87.73
False,6,1,41,two-year,basic,no,66.12
False,0,0,35,month-to-month,plus,yes,47.17
False,0,0,37,two-year,premium,no,39.57
False,1,0,34,one-year,plus,yes,98.78
False,1,2,18,two-year,plus,yes,67.6
False,0,2,22,one-year,plus,no,46.9
False,1,1,26,month-to-month,plus,yes,49.99
False,0,1,18,two-year,plus,no,74.08
False,1,0,62,month-to-month,basic,yes,40.88
False,0,0,52,one-year,basic,no,50.58
False,0,3,50,one-year,plus,no,65.48
False,1,0,22,month-to-month,basic,yes,31.87
False,0,1,36,one-year,basic,yes,62.42
False,0,1,72,two-year,basic,yes,68.02
False,2,1,24,month-to-month,basic,no,52.29
False,0,1,6,month-to-month,basic,yes,63.82
False,0,0,16,month-to-month,plus,no,44.35
True,1,0,10,one-year,plus,no,35.52
False,0,7,44,month-to-month,basic,no,31.71
False,0,0,20,month-to-month,premium,no,58.55
False,0,2,8,month-to-month,premium,yes,51.41
False,0,3,12,one-year,premium,yes,36.6
False,3,1,20,month-to-month,premium,no,75.47
False,0,5,52,month-to-month,premium,no,70.62
False,0,1,55,month-to-month,premium,yes,58.57
True,1,2,61,two-year,basic,no,52.87
False,1,3,29,month-to-month,plus,no,77.88
False,0,0,15,two-year,basic,yes,91.31
False,0,1,12,two-year,basic,yes,54.89
False,1,3,56,month-to-month,basic,no,57.89
False,0,0,8,one-year,plus,no,74.82
False,1,1,15,month-to-month,plus,yes,75.2
False,1,2,23,one-year,plus,no,69.08
False,0,1,35,two-year,plus,yes,47.09
False,0,2,10,month-to-month,premium,no,42.64
False,1,2,6,one-year,basic,no,35.0
False,0,3,17,month-to-month,basic,no,43.19
False,1,1,26,one-year,premium,yes,90.46
False,1,2,21,one-year,premium,yes,45.7
False,0,0,11,one-year,basic,yes,68.89
False,0,2,8,one-year,premium,yes,46.37
False,0,3,12,two-year,premium,no,68.49
False,1,3,42,one-year,plus,yes,89.45
False,0,1,19,two-year,plus,yes,58.3
False,2,1,57,month-to-month,plus,yes,53.71
False,0,2,14,month-to-month,basic,no,74.97
False,0,0,16,month-to-month,premium,yes,54.08
False,1,1,33,month-to-month,basic,no,86.06
False,0,0,44,month-to-month,premium,yes,72.21
False,1,0,14,two-year,premium,yes,76.59
False,2,3,33,one-year,plus,yes,54.0
False,1,1,69,month-to-month,basic,no,72.5
False,0,4,40,one-year,premium,no,65.44
False,1,1,43,one-year,basic,no,62.12
False,1,2,62,two-year,basic,no,97.4
False,2,2,30,month-to-month,basic,yes,48.52
False,0,0,37,one-year,plus,no,80.32
False,1,1,9,month-to-month,plus,yes,41.48
False,1,1,22,one-year,basic,no,40.41
False,3,1,24,month-to-month,premium,yes,74.45
False,1,1,57,month-to-month,plus,no,26.22
False,1,2,21,month-to-month,plus,no,80.9
True,2,1,30,month-to-month,plus,no,81.35
False,0,2,19,month-to-month,plus,yes,70.77
False,2,2,22,month-to-month,plus,no,56.19
False,0,1,15,month-to-month,plus,yes,80.34
False,2,1,30,one-year,plus,yes,55.14
False,1,4,28,month-to-month,basic,yes,72.13
False,1,2,26,month-to-month,plus,yes,59.61
False,2,1,9,two-year,basic,no,50.77
False,1,1,11,two-year,plus,yes,82.94
False,1,2,15,one-year,plus,no,77.82
False,1,4,17,month-to-month,basic,yes,51.24
False,1,2,7,month-to-month,basic,no,53.24
False,0,3,43,month-to-month,plus,yes,76.15
False,0,0,72,one-year,plus,no,59.34
False,0,2,16,one-year,plus,no,65.2
False,0,2,17,one-year,basic,no,71.86
False,0,2,26,one-year,plus,no,40.77
False,1,1,26,month-to-month,basic,yes,70.5
False,0,0,12,one-year,basic,yes,73.38
False,1,4,8,month-to-month,premium,yes,64.06
False,0,0,49,month-to-month,basic,yes,81.42
False,1,2,52,month-to-month,basic,yes,54.55
False,1,2,72,two-year,plus,no,25.0
False,1,2,17,one-year,premium,yes,98.89
False,0,3,22,month-to-month,basic,yes,68.78
False,0,1,30,month-to-month,plus,yes,85.12
False,0,1,28,one-year,basic,no,44.93
False,1,0,30,two-year,plus,yes,33.32
